video,track_id,total_frames,usable_predictions,best_confidence,predicted_text,count,max_confidence
13796220_2160_3840_25fps,1,9,2,0.7971935272216797,CHRO171800,1.0,0.7971935272216797
13796220_2160_3840_25fps,19,1,0,0.0,,,
13796220_2160_3840_25fps,2,16,4,0.902429699897766,56113,1.0,0.902429699897766
13796220_2160_3840_25fps,23,1,0,0.0,,,
13796220_2160_3840_25fps,25,5,1,0.730772852897644,1,1.0,0.730772852897644
13796220_2160_3840_25fps,3,27,3,0.8527214527130127,PB0182005,1.0,0.8527214527130127
13796220_2160_3840_25fps,4,51,0,0.4174569547176361,,,
13796220_2160_3840_25fps,5,17,0,0.3113870024681091,,,
13796220_2160_3840_25fps,9,31,9,0.9160485863685608,CHOTKGG11,1.0,0.9160485863685608
14586488_3840_2160_60fps,1,110,1,0.9997891187667848,9407,1.0,0.9997891187667848
14586488_3840_2160_60fps,11,2,0,0.0,,,
14586488_3840_2160_60fps,15,34,4,0.8790014386177063,L50,1.0,0.8790014386177063
14586488_3840_2160_60fps,17,2,0,0.3524563014507293,,,
14586488_3840_2160_60fps,19,2,0,0.228713572025299,,,
14586488_3840_2160_60fps,2,3,2,0.8756328225135803,1,2.0,0.8756328225135803
14586488_3840_2160_60fps,23,1,0,0.3559171259403229,,,
14586488_3840_2160_60fps,3,28,3,0.9906099438667296,250,1.0,0.9906099438667296
14586488_3840_2160_60fps,36,15,0,0.3654396831989288,,,
14586488_3840_2160_60fps,4,40,5,0.9007964134216307,EOUIPE,1.0,0.9007964134216307
14586488_3840_2160_60fps,40,9,0,0.4264693558216095,,,
14586488_3840_2160_60fps,41,45,3,0.8625902533531189,NCZ,1.0,0.8625902533531189
14586488_3840_2160_60fps,45,2,2,0.7073902487754822,1,2.0,0.7073902487754822
14586488_3840_2160_60fps,49,4,2,0.934392511844635,1,1.0,0.934392511844635
14586488_3840_2160_60fps,5,34,2,0.7835025787353516,BBS,1.0,0.7835025787353516
14586488_3840_2160_60fps,51,4,0,0.0,,,
14586488_3840_2160_60fps,56,2,0,0.0,,,
14586488_3840_2160_60fps,57,13,0,0.0,,,
14586488_3840_2160_60fps,62,2,0,0.0,,,
14586488_3840_2160_60fps,64,7,1,0.6980937719345093,C,1.0,0.6980937719345093
14586488_3840_2160_60fps,66,1,1,0.6501292586326599,1,1.0,0.6501292586326599
14586488_3840_2160_60fps,67,4,0,0.5108720064163208,,,
14586488_3840_2160_60fps,9,8,0,0.4361149370670318,,,
15076457_2160_3840_30fps,1,28,16,0.9997937679290771,KA41AA321,13.0,0.9997937679290771
15076457_2160_3840_30fps,18,4,0,0.2581093311309814,,,
15076457_2160_3840_30fps,2,1,0,0.0,,,
15076457_2160_3840_30fps,20,5,3,0.8379569053649902,YO,1.0,0.8379569053649902
15076457_2160_3840_30fps,23,1,0,0.0,,,
15076457_2160_3840_30fps,26,6,0,0.4449198544025421,,,
15076457_2160_3840_30fps,3,6,0,0.0,,,
15076457_2160_3840_30fps,33,1,0,0.1931795477867126,,,
15076457_2160_3840_30fps,34,3,0,0.3385530114173889,,,
15076457_2160_3840_30fps,35,1,0,0.3719440698623657,,,
